match_id,player_name,position,minutes_played,rating,goals,assists
5,Rajaei Ayed,Midfielder,90,6.2,0,0
5,Amer Jamous,Midfielder,11,4,0,0
5,Nizar Al-Rashdan,Midfielder,90,8,1,0
5,Ibrahim Saadeh,Midfielder,0,0,0,0
5,Mohammad Abu Hasheesh,Midfielder,26,6.6,0,0
5,Mohannad Abu Taha,Midfielder,84,6.8,0,0
5,Ahmad Al-Ersan,Forward,45,6.6,0,0
5,Mahmoud Al-Mardi,Forward,71,7.3,0,1
5,Mohammad Abu Zreig,Forward,40,6.8,0,0
5,Ali Olwan,Forward,90,6.6,0,0
5,Yazan Al-Naimat,Forward,0,0,0,0
5,MALEK SHALABIYA,Goalkeeper,0,0,0,0
5,HADI ALHOURANI,Defender,0,0,0,0
5,Ali Hajabi,Defender,6,0,0,0
5,NOUR BANIATEYAH,Goalkeeper,0,,0,0
5,Odeh Fakhoury,Forward,80,6.6,0,0
6,Yazeed Abulaila,Goalkeeper,120,5.8,0,0
6,Abdallah Nasib,Defender,120,7,0,0
6,Salem Al-Obeid,Defender,0,0,0,0
6,Saed Al-Rosan,Defender,120,6.4,0,0
6,Hussam Abu Dhab,Defender,103,6,0,0
6,Essam Al-Samiri,Midfielder,45,6.4,0,0
6,Adham Al-Quraishi,Midfielder,75,5.8,0,0
6,Rajaei Ayed,Midfielder,39,5.3,0,0
6,Amer Jamous,Midfielder,81,6,0,0
6,Nizar Al-Rashdan,Midfielder,120,6.5,0,0
6,Ibrahim Saadeh,Midfielder,0,0,0,0
6,Mohammad Abu Hasheesh,Midfielder,31,6.5,0,0
6,Mohannad Abu Taha,Midfielder,120,6.9,0,1
6,Ahmad Al-Ersan,Forward,120,0,0,0
6,Mahmoud Al-Mardi,Forward,120,0,0,0
6,Mohammad Abu Zreig,Forward,45,6.7,0,0
6,Ali Olwan,Forward,120,8.3,2,0
6,Yazan Al-Naimat,Forward,0,0,0,0
6,Odeh Fakhoury,Forward,67,6,0,0
6,MALEK SHALABIYA,Goalkeeper,0,0,0,0
6,HADI ALHOURANI,Defender,0,0,0,0
6,Ali Hajabi,Defender,17,6.3,0,0
6,NOUR BANIATEYAH,Goalkeeper,0,0,0,0
